labels,data
2,أَمِن دِمنَةِ الدارِ أَقوَت سِنينا # بَكَيتَ فَظَلتَ كَئيباً حَزينا
10,أَوائِل فَتْحٍ ما لَهُنَّ أَوَاخِرُ # تَرَامَتْ بِها جُرْدٌ وَفُلْك مَواخِرُ
4,مَنَاقِبٌ أَبْرَزَتْكَ مِنْ شَرَفٍ # عَالٍ وَأَذِكَتْ نُوراً عَلَى عَلَمِ
7,وأنا أقتات من وهم عفا # وأفي العمر لناسٍ ما وفى
4,وقالتِ الناسُ عندما وَرَدَتْ # لِعَزْلِهِ الكُتْبُ هانَتِ الوَجْبَهْ
0,دخلتُ حَمَّاما على غِرةٍ # لما دعاني سوءُ حَظٍّ وحَيْنْ
7,مثل أقلام علاء الدين إذ # قلدت من نفسها عقداً نظيم
12,وإن بت بجعجاع # لقد بتنا بأوجاع
1,وَتَوَصَّلوا لِصَلاتِهِ بِصَلاتِكُم # أَبَدا عَلى هَذا النَّبي المُختار
13,وَإِنَّما الإِنسانُ مَحصولُهُ # إِن قَبِلَ التَحديدَ إِحسانِ
11,لَوَ اِنَّ اللُؤمَ يُنسَبُ كانَ عَبداً # قَبيحَ الوَجهِ أَعوَرَ مِن ثَقيفِ
13,فقالَ لي إنِّي وجدتُ امرأة # تملكهم وأوتِيت منْ كلِّ شيْ
8,يا فارس الخيل تَردي في أعِنَّتها # والشَّاهدان بها حربٌ وميدانُ
3,وله لهب في وجنته # نار للحسن توقّده
1,يُجري بأَعْيُنِنا عيونَ مياهِهِ # محفوفةً أَبداً بحُورٍ عِينِ
11,وَجَاسَ خِلالها طُولاً وعَرْضاً # وغادَرَ عالِياً مِنْها حُزُونا
13,أصبحت استجدي جهاماً ليس في # عارضه وبل سوى وباله
4,فَقُلتُ كَالمُشتَهي لِما ذَكَرَت # اِنطَلِقي أَتَّبِعكِ فَاِنطَلَقَت
13,وَقوبِلَت في الفرس بِالمُحبّذِ # مِن كُلِّ دهقانٍ وَكُلِّ موبِذِ
0,يا سيدي دعوة مَن قولُهُ # يا سيدِي يوجب تشريفَه
11,شَقيقُ الرُشْدِ تَسمِيةً وفألاً # سَليلُ المجدِ خيرُ أبٍ وآلِ
8,تقَّصيرُ أَوْلَى بطبعِ الحاذق الفَهِم # فأَحكمُ القولِ إيجازٌ يبين به ال
2,رَأى الناسُ هِجرَةَ مَملوكِهِ # فَلا يَنظُروهُ لَهُ هاجِرا
1,إنه ليحزنني طلوع هلاله # وطلائع رهن الصدى والهام
0,فلم أقلْ حين فشا عرْفها # من أين هذا النفَسُ الطيب
2,وَهَانَ عَلَيَّ الذِي قَدْ لَقِي # تُ لَمَّا سَقَانِي نَدَاهُ نَمِيرَا
8,من آل طه وآل المرتضى ومن الزه # را البتول لقصر المجد قد شادوا
1,أَو غادَةٍ شَقَّت صِداراً أَزرَقاً # ما بَينَ ثُغرتها إِلى الأَقرابِ
13,لا يختشي ملاعب الظنون # والأمر مبنيٌّ على السكون
10,فَما أُمُّ خِشفٍ بِالعَقيقَينِ تَرعَوي # إِلى رَشَأٍ طِفلٍ مَفاصِلُهُ خُدرُ
11,خُمورُ الريقِ لَسنَ بِكُلِّ حالٍ # عَلى طُلّابَهُنَّ مُحَرَّماتِ
9,وتعدى الكرام سبقاً إلى أن # قيل ما ذا في قدرة الإنسان
2,بِهِ غَسَلَ اللَهُ مَحلَ الحِجازِ # وَأَبرَأَها بَعدَ أَوصابِها
10,وَلا كانَ مِن رَيبِ الحَوادِثِ آمِناً # جَناحُكَ إِن أَزمَعتَ لِلطَيَرانِ
7,يا سَمِيَّ المُصطفى بَرَّحَ بي # مَطْلُ أيامي بتحقيق الأملْ
9,أَنا في عَسكَرٍ لِخَيرِ إِمامٍ # زانَهُ رَبُّهُ بِخَيرِ وَزيرِ
10,تَجَفَّلُ حيناً ثُمَّ تَرنو كَأَنَّها # تُنادي طَلاً بِالوادِ أَعجَزَهُ الخُضرُ
4,حلى ثناه لأحرفي قعدت # كالنمل تسعى له مع الشعرا
8,فالرب عند ظنون العبد فلتدر # جاء الحديث بذا فاصغ إلى الذكرى
2,يُعاطيكَ راحَتَهُ وَالرُضابُ # وَاللَفظَ وَالمُقلَةَ الخَندَريسا
7,وَضِبابٍ سَفَرَ الماءُ بِها # غَرِقَت أَولاجُها غَيرَ السُدَد
8,قَوْمٌ إذا زُرْتَهُمْ أَصْفُوكَ وُدَّهُم # كَأَنَّما لَكَ أُمٌّ مِنْهُمُ وَأَبُ
1,ما غردت ورق الرياض وما غدت # لكليم وجد بالغرام تناجي
10,وَإِن حارَبَت لَيلى نُحارِب وَإِن تَدِن # نَدِن دينَها لا عَيبَ لِلمُتَوَدِّدِ
1,ولنا صديقٌ لا يطيبُ حديثُه # ويطيلُه وكأنّه يتطوّلُ
0,مَضى زَماني وَتَقَضّى المَدى # فَلَيتَني وُفِّقتُ في ذا الزُمَين
8,وَخُذ أَوامِرَها في الحُبِّ مُتَّخِذي # تُشهِدكَ شَمسُ ضُحاها الظُهرُ بِالطَفَلِ
8,أنتم وسائلنا أنتم مقاصدنا # أنتم ذخائرنا للبؤس والباس
9,وَلْتُفِدْنَا مِنَ الْمَوَاهِبِ مَا بَغْ # لِبُ فَيْضُ زُلاَلِهِ الْقَامُوسَا
2,وَإِنْ كانَ أَضْرَمَ نارَ الْجَوىَ # فَلا أَشْتَكي ضرَّ ما أَضْرَما
0,وَالحالُ ضاقَت عَن ضَمِّها جَسَدي # فَكَيفَ لي أَن يَضُمَّهُ الشَجَبُ
8,كانت بدايته مثل النهاية من # أقرانه فاعتبر هذا بتبيان
13,وَبَعدَما تَجبُر فَلتُقابِل # بِطَرحِ مَا نَظيرُهُ مُماثِل
8,سَحارَةً تَحكُمُ التَخييلَ حينَ يَرى # كَأَنَّهُ الحَقُّ إِذا كانَت مِنَ الفِتَنِ
4,وَكانَ في طَيِّئٍ وَإِخوَتِها # مَطاعِمٌ لا يُرَدُّ راشِنُها
2,إِذا لَجِبٌ مِن سَحابِ الرَبيعِ # مَرَّ بِساحَتِها جادَها
13,وَليسَ لِلوَرَّاقِ مَعْها حُجَّةٌ # فاعطِفْ علَينا يا فتَى التَّلْْعَفرِى
2,إِلَى مَا فُؤَادِي يَذُوبُ زَفِيرًا # لَقَدْ كِدْتُ أُقْضِي مُعَنّىً حَسِيرَا
9,زمن الأنس قائمٌ بالتهاني # ونوالُ الملكِ المؤيد يسري
4,بانَت بِقَلبي صَفراءُ رادِعَةً # صَبَّت عَلَينا مِن حُسنِها فِتَنا
11,فَأَظْفَرَكَ الإِلَهُ بِكُلِّ بَاغٍ # وَأَخْدَمَكَ الْمُلُوكَ مِنَ الأَنَامِ
0,صَاموا مَعَ النَّاسِ ولكنَّهمْ # كانوا لِمَنْ يُبصِرُهم عِبْرَهْ
8,وَفي خَفائي بَدا لي بِالتَنَعُّمِ في # دارَيَّ مِن غَيرِ إِثمٍ أَمرُ مَولائي
7,والذي يُخْبِتُ للّهِ إذا # نالَ مَسْعاهُ مَحلاًّ لمْ يُرَمْ
9,لَيسَ لي يا ظَلومُ غَيرَكِ هَمٌّ # أَنتِ هَمّي طَريفُهُ وَالتَليدُ
1,طالت بأيديهم قصار صوارم # باتت بها الأعمار غير طوال
4,إن قِيلَ قِيلُوا فَفَوقَ أرحُلِها # أو عَرِّسُوا فالذَّمِيلُ والخَبَبُ
1,وافَى على سوق بَدَتْ أوراقها # تَنْدى وقد عَلِقَتْ بها الأبصار
2,تَرى هَمَّهُ نَظَراً خَصرَهُ # وَهَمُّكَ في الغَزوِ لا في السِمَن
13,ثُمَ قَضى مُحَمدٌ بِغَمِّهِ # وَالشَرُّ باقٍ وَالبَلاءُ ما اِنقَضى
10,أَلا أَيُّها القَومُ الَّذينَ وَشَوا بِنا # عَلى غَيلا ما تَقوى الإِلَهُ وَلا بِرِّ
2,وَرُوِّعنَ بِالصُبحِ أَبصَرتَنا # نُفَدّي بِأَنفُسِنا أَجمَعينا
9,أشرقت فرحتان عندي فهذي # لعماد وهذه لأميره
9,لَيتَ شِعري هَل لي إِلَيها سَبيلٌ # فَأَراها في خَلوَةٍ وَتَراني
0,يا سيدي دعوة من نفسِهِ # محصورة في بيدق الحاشيه
8,حَتّى يُقالَ أَما الإِنسانُ مِن عَجَلٍ # فَما لِهَذا إِلى الأَطماعِ ما عَجِلا
11,ويجعل أفضل الصلوات منا # علي خير الورى في كل حال
8,لكن رآكَ هُماماً في مَطالبِهِ # يثني بما نلته نادٍومُعْتركُ
4,مراتب الشرع أو علائمه # قد توّجت باسمه وأقلامه
11,هو الولَدُ الّذي بأبيهِ نالَتْ # خُلودَ الأمْنِ أفئِدَةُ الرّجالِ
10,سأشْكُرُ لِلْحَمَّامِ بَدْءاً وَعَوْدَةً # أَيادي بِيضاً ما لهُنَّ ثَمينُ
10,إِذا جِئتُها وَسطَ النِساءِ مَنَحتُها # صُدوداً كَأَنَّ النَفسَ لَيسَت تُريدُها
11,ظَلَمتَ وَكُلُّنا جانٍ ظَلومٌ # وَطَبعُكَ في الخِيانَةِ مِثلُ طَبعي
13,ينفحُ بالنَّدَّ ثراها كما # تضوَّعتْ فأْرَةُ عطّارِ
11,جزى نُعماكَ طُغياناً وكُفْراً # فحلّتْ فيه قارعةُ النّكالِ
10,وَمَازالت السَّمحاء يَنْهل مزنُها # بِكُلِّ سَبِيل مِنْهُ شرْبٌ لِذي ذودِ
2,وَأَمسيْتُ ضَيْفَكَ في مَنْزِلي # وَمَن فيهِ ضَيْفٌ يضيفِ الكريمِ
13,لِكُلِّ حالٍ حُلوُها وَمُرُّها # ما أَدَبُ النَعجَةِ إِلّا صَبرُها
2,فَبانَ بِحَسناءَ بَرّاقَةٍ # عَلى أَنَّ في الطَرفِ مِنها فُتورا
11,أَلاَ كُنْ فِي حَيَاتِكَ ذَا احْتِيَاطِ # عَلَى مَرْضَاةِ رَبِّكَ ذَا اغْتِبَاطِ
13,تاجُ الملوكِ والملاذُ المُعْتصَمْ # مشَمِّرٌ يزْجُر أسْطار القلمْ
1,ورجعتُ قد ظفرتْ يداي بجاهه # وبقُربه وبوُدّه وصِلاته
2,إِذا القَومُ صاموا فَعافوا الطَعامَ # وَقالوا المُحالَ فَقَد أَفطَروا
0,خَبَّتهُ في فِيهَا فَقُلْتُ انْظُروا # قَدْ خَبَّتِ الخَاتِمَ بالخَاتِمِ
1,والرض بالانوار اشرق نورها # وبدت لنا منها نجوم سماء
8,يَفُلُّ غربَ الرزايا وهي باسلةٌ # ويُوسِعُ الجارَ نَصْراً وهو مخْذولُ
13,وَفِي زِمَامِ حُبِّهِ ارْتَسَمْتُ # وَإِنْ أَكُنْ عَنْ هَدْيِهِ قَدْ نِمْتُ
7,لست يا ابن اليأس ممَّا أرْتجي # بعد ما قربتني يا ابن الخضير
0,يقول بيت المال لمَّا رأى # تدبير مولانا الجليّ الجليل
11,وَلَو كانَ الكَثيرُ لَقَلَّ عِندي # وَأَهوَنَ بِالطَفيفِ المُستَطَفِّ
10,أُقاتِلُ عَن قَلبي الهَوى فَكَأَنَّني # وَإِيّاهُ نَزّالانِ في مُلتَقى الزَحفِ
0,له وراءَ القومِ أن غلَّلُوا # في البيدِ اِشآمٌ واِعراقُ
9,وَاِختِلافٌ مِن مَنصِبٍ وَبِلادٍ # وَاِتِّفاقٌ عَلى رِضا بِالمَخازي
9,ثُمَّ فارَقتُ ذاكَ غَيرَ ذَميمٍ # كُلُّ عَيشِ الدُنيا وَإِن طالَ فانِ
1,مِن كُلِّ أَروَعَ راعَ كُلَّ ضُبارِمٍ # بَأساً وَذَلَّلَ نَفسَ كُلِّ مُنافِسِ
7,وَلَقَد عَدّوا لَكُم بَينَ الجُدود # مِثلَ آبيسَ وَمَعبودِ اليَهود
2,ضَحوكاً إِذا لاعَبَتهُ الرِياحُ # تَأَوَّدَ كَالشارِبِ المُرجَحِنّ
11,ثَلاثُِ مَآرِبٍ عَنسٌ وَكورٌ # وَنَهجٌ قَد أَبانَ فَهَل بُكورُ
0,ومَنْ أبَى في الرُّزْءِ غَيْرَ الأسَى # كانَ بُكاهُ مُنْتَهَى جُهْدِهِ
9,قائلاً صَه بالله لا تسأليني # فكلانا من دونِها في عناء
7,تَرَكَ الآجِلُ لَم يَحفِل بِهِ # وَمِنَ العاجِلِ لَم يَقضِ الوَطَر
4,ضُمي وإلا حبلت من سعة # فأنت طول النهار منفرِجَهْ
0,ذِكْرٌ ووجدٌ بهما تلتظي # أضالِعٌ تَفْنَى وأشواقُ
1,سعدت مطالعنا بأكرم وافد # وأعز مجتاز وأشرف ماجد
7,عز في الحسن مثالا فلذا # صرت ما بين البرايا مثلا
6,أَنا الأَسيرُ الذَليلُ # أَنا الجَريحُ القَتيلُ
10,مُعَتَّقَةٌ يَعْلو الْحَبابُ مُتونَها # فَتَحْسِبُهُ فيها نَثيرَ جُمانِ
8,وفاتني زمن الإمكان في كسل # وغفلة والرجا في اللَه معتصم
0,لَبَّيْكَ يَا بَدْرَ الْعُلاَ وَالنَّدَى # فَلاَ دَهَاكَ الدَّهْرَ وَشْكُ الْفِرَاقْ
4,عَرِّض بِالحَقِّ في المِثالِ لَهُ # وَالفَوزُ لَونالَهُ بِتَصريحِ
10,يُقَطِّعُ قَلبي حُسنُ خالٍ بِخَدِّها # إِذا سَفَرَت عَنهُ وَيَنفُثُ بِالسِحرِ
6,إنا مددنا يدينا # إلى الرحيم الغفور
13,وَالطَيرَ لا تَلهو بِتَدويمِها # في مُلكِها الواسِعِ أَو تَصدَحُ
13,لَو شِئتُ مِمّا قَد قَلَلنَ جِدّاً # عَدَدتُ أَيّامَ السُرورِ عَدّا
2,فَتُضحي مِنَ المَردِ مَردِيَّةً # وَتُمسي مِنَ الرَدى مَردِيَّه
4,وَلاَ سَخِطْتُ الذِي رَمَانِي بِهِ # وَإِنْ كَسَانِي السَّقَامَ وَالدَّنَفَا
0,يَلقاكَ بِالماءِ النُمَيرِ الفَتى # وَفي ضَميرِ النَفسِ نارٌ تَقِد
7,وإذا شئتم رَدَى أهل الشرور # أتقنوا الحرب علوما وفنون
4,وَفي جَميلِ القُنوعِ يَنخَفِضُ الـ # ـعَيشُ وَبِالحِرصِ يَعظُمُ التَعَبُ
8,وكلُّ قولٍ له الأفعال آساس # بقيتُما كبقاءِ الدهرِ في دعةٍ
7,خارِطٌ أَحقَبُ فِلُو ضامِرٌ # أَبلَقُ الحَقوَينِ مَشطُوبُ الكَفَل
8,لا يقبل اللَه أعمالاً يزيد بها # عاملها غير وجه اللَه فاجتنبوا
7,فهي أحياناً بشعري آهة # وهي أَحياناً جوى يشجي وبرح
11,بِأَلْفَاظٍ تَخِرُّ لَهَا القَوافِي # وَيَنْقَادُ القَريضُ لَهَا ذَلُولا
10,وَقالَ نِساءٌ لَسنَ لي بِنَواصِحِن # لِيَعلَمنَ ما أُخفي وَيَعلَمنَ ما أُبدي
8,أنكرتُه مثلَ ما أنكرتُ مَعْلَمَهُ # لولا ثرًى بذكيَّ المِسكِ يَنفتِقُ
11,فطعْن الجود في الإِملاقِ شَزْرٌ # وضَربُ العدلِ في الجور التِهام
2,وَهُم مَنَعوا جارَهُم وَالنِساءُ # يَحفِزُ أَحشائَها الخَوفُ حَفزا
8,فاق الجياد بيوم الطَّردِ أشْهبهُ # تعلَّم السَّبْقَ منه في مناقبهِ
4,واستبي لكاعب العقيلة اذ # سهمي الصبابات والصّيب
11,أخو الإغضاء عن تقصير مثن # وفي طلب العلاءِ أخو الطماح
13,لَم يَخلُ مِن جَدٍّ بِها أَو لَعبٍ # مِن المَيادين إِلى حَرِّ الرَحى
10,بِحَسْبِكَ في هوَّارَةٍ وزَنَاتَةٍ # وقائِعُ هابَتْها سُلَيْم وعامِرُ
13,وَباعِثِ الطَرفِ بِشاطِي الهَوى # وَأَنتَ يا صاحِبُ كَسلانُ
3,يا رَبِّ بِعيسى وَالهادي # وَبِموسى خُذ بِيَدِ الوَطَنِ
2,فما كان أحلاهُ مِن صامتٍ # يُشِيرُ ولكنّني أَفْهَمُهْ
1,غَنتكَ أَغماتية الأَلحان # ثقَلَت عَلى الأَرواحِ وَالأَبدانِ
13,وَلا تَراهُ ناقِضاً لِعَهدِهِ # وَلا يَشوبُ باطِلاً بِجَدِّهِ
9,وتَوَلَّتْ أحلامُ طَيْشِ الثّلاثينَ # ووَلَّى عَهْدُ الهَوى والصَّبابَةْ
4,أَقلُّ ما في جَمالِ طَلْعَتِهِ # أَجَلُّ ما في مَحاسِنِ القَمَرِ
11,وَمَا مَعْ جُودِهِ لِلمالِ سُكنَى # هُناكَ وَكَيْفَ يُجمَعُ سَاكِنانِ
9,أسكبُ الدمعَ مرةً ثم أمضي # أنا أحببتُ مرةً في زماني
1,لا بَل عُروسا قَد زَفَفتَ تولّدت # ما بَينَ فكرٍ ناقِدٍ وَبَنانِ
10,وَجَلَّتْ عَنِ الأَغيَارِ فَهْيَ وَسِيطَةٌ # مُنَاسِبَةٌ تَسْمُو وَأَكْرِمْ بِهَا عِلْوَا
11,وَلَكن لَو رَكبت الريح طَرفاً # وَكانَ البَرق سَوطاً في يَديا
11,فأبكي حسرةً حيثُ التَّنائي # وأبكي فرحةً حيثُ اللقاء
11,بِهِ تَقَعُ الْمَصَائِبُ لاَ بِظَبْيٍ # لَدَيْهِمْ فَاقِدِ العَيْشِ الرَّخاخِِ
12,فصُبحُ الوصلِ وَضَّاحٌ # وليلُ الهَجْرِ ديْجورُ
11,وَهَبت نَسمة في الحَي لَما # طَرَقَت الحَي فائحة البشام
8,لحسنه كلُّ ذَنبٍ منه مُغتَفَرُ # هُوَ الغنيُّ وإني في هواه إلى
8,موقَّرٌ وحُبى الأقوامِ طائشةٌ # للخطب يحسدهُ الشُّمُّ الشناخيب
13,مجلِس عبدِ اللهِ ذَاك الَّذي # تُرى مُلوكُ الأَرضِ فيه عَبِيدْ
1,تركوا بهمْ عيني سَفوحاً دمعُها # شوقاً وجَفْني بالفِراقِ مؤرِّقا
1,وتخطرت اعطاف اغصان النقا # وتمايلت كتمايل الخيلاء
4,فذاك ما كان ضاربا رجلا # لكنه راح ضاربا مثلا
9,لكَ منِّي الدُّعا ونظم القوافي # فأعرها لا زلتَ فكرَ السميع
11,هذا الذِي مَنْ أمَّهُ # لاَ يَخْتَشِي مِنْ نُوَبِ
7,رتبٌ غادرنه ذا شغلٍ # بهواها عن هوى ظبيٍ وريم
10,خَليلَيَّ لَو كُنتُ الصَحيحَ وَكُنتُما # سَقيمَينِ لَم أَفعَل كَفِعلِكُما بِيا
0,لا زلت فرد الدهر جم العطا # تفوز بالحمد وبالشكر
9,عيشَةٌ ضاهَتِ الهَواذيرَ ما في # ها مُفيدٌ وَكُلُّها تَطويلُ
2,وَخِلُّكَ أَفضَلُ مِن غَيرِهِ # وَما في الوَرى كُلُّهُم فاضِلُ
1,عفّى رسومَ مودةٍ قد شادها # قِدْماً برأي نُهًى وفرطِ سَدادِ
11,وأحدثَ عهدُه فينا سُروراً # فأنبتَ في الخُدودِ الجُلّنارا
9,وَالمُجيرونَ العاطِفونَ عَلى الدَه # رِ صِحابَ المَيسورِ في كُلِّ حالِ
7,كم حبيبٍ بَعُدَت صَهباؤُه # وتَبقَّت نفحةٌ من حَبَبِه
5,فَبَدا الصُبحُ مُلجَماً بِالثُرَيّا # وَجَرى البَرقُ مُسرَجاً بِالهِلالِ
4,أَرذاكَ مَجلودُكَ الكَآبَةَ وَالـ # ـشَوقَ وَجُهدَ البَلاءِ وَالنَصَبا
9,قلتُ للقلبِ جاءَ ريك فانهل # كم ظمئنا فما وجدنَا الماءَ
5,لَو حَلَلنا وَسطَ جَنَّةِ عَدنٍ # لَاِقتَرَحناكَ عَلَيها اِقتِراحا
0,به فادي زاد لكنني # من شرف الدين ارجو الصلاح
2,دَعَونا الأَمانيَ لَمّا رَضيتَ # فَجاءَت تَوالي عَلَينا وَتَترى
11,دَعَوتُم عامِراً فَنَبَذتُموهُ # وَلَم تَدعوا مُعاوِيَةَ بنِ عَمروِ
9,شمْ نداه وذهنه الصفو واحْذر # من عوادِي الطوفان والنيران
2,نَماكَ إلى المجد شُمُّ الأنو # فِ يُحْمى من الضَّيْم جيرانُها
2,وَنَحنُ وَرِثنا ثِيابَ النَبِيِّ # فَلِم تَجذِبونَ بِأَهدابِها
12,كذا يا شِعرُ تُحْرِجُني # وتُفْشِي كلَّ أَسرارِي
0,يا ليلة بالعمر قضيتها # وصلا على رغم حسود وشامت
7,نعمَ قاري الضَّيف في جُنح الدجى # والمُحامي تحت أطْرافِ الأسَلْ
4,يا لَيتَ أَنَّ الرِياحَ جارِيَةٌ # تَسعى بِحاجاتِنا وَتَختَلِفُ
4,فَلَيسَ مِن مُسلِمٍ لَهُ بَصَرٌ # يُنكِرُ مِن فَضلِهِم إِذا ذُكِروا
7,بِكَ في طُولِ بَقاءٍ آمِنٍ # دونَهُ الحادثُ أعْمى وأصَمْ
8,بين الولائد فضل الحلي والحلل # فوق الأرائك والأملاك داخلة
9,أصبحَتْ بينَنا اليتيمةَ تُدعى # متّع اللّه بالحياةِ أباها
8,سَتَرتُهُ مِن عَذولٍ إِن رَضيتُ بِأَن # أَموتَ فيهِ فَما مَعناهُ بِالغَضَبِ
1,ثم ارتجعنا من منى بتنا بها # أيام تشريق الثلاث فحسبيه
10,تَمَتَّع بِلَيلى إِنَّما أَنتَ هامَةٌ # مِنَ الهامِ يَدنو كُلَّ يَومٍ حِمامُها
1,لو ملّك اللهُ المسيحَ مِثالَها # لأطاعه الإنسيُّ والجِنيُّ
1,وسمت بنعماك الرقاب تبرعاً # وأجياد شعري ما عليهن ميسم
2,شِعارُكَ في الحَربِ يَومَ الوَغى # إِذا اِنهَزَموا عَجِّلوا عَجِّلوا
7,أَعلَنوا الحَربَ وَأَضمَرنا لَهُم # أَينَما حَلّوا هَلاكاً وَاِختِراما
7,أيها القصر أترعى عهدنا # وتفى إن عز في الناس الوفى
11,أَرادوا قَتلَ أَحمَدَ ظالِموهُ # وَلَيسَ بِقَتلِهِ فيهِم زَعيمُ
9,سمه في الضمير إن ذُقت فقراً # وعليَّ الضمان أنك تثري
11,تجانسَ صنعه فترى سجلاًّ # يروق وفي النوال ترى سجالا
0,قد ساد من قبل الصبى سابقاً # قولهم السؤدد قبل السواد
4,رِدائي الذُلُّ ما حَييتُ كَما # أَنّي بِعَجزي أَصبَحتُ مُتَّزِرُ
7,زعموكم أمة هازلة # كذب الزاعم فيما قد زعم
9,همَّة جازت السماك وفي عق # ل الأعادِي وحالها دبران
2,فَلَيسَ بِذاكِرِ أَوتادِها # وَلا مُرتَجٍ فَضلَ أَسبابِها
7,أمْنعُ الأحياءِ بأساً وحِمىً # وأجَلُّ القومِ مسْعىً ونِجارا
11,يطالب صدغها والخال قلبي # كأنَّ عليَّ للحبشان دينا
11,فقلت أريد تسفيراً وزاداً # فقالت لي بزائدها وزاده
7,يوم لا حسن الغواني شافعٌ # عند ذي الطعن ولا ودُّ الحميم
10,ويَطوي معَ الإصباحِ مَنْشورَ نَشْره # كَما بانَ عَن ربع المُحبّ حَبيبُ
1,جَمَدَ الغَديرُ بِمَتنِهِ وَلَرُبَّما # أَعشاكَ إِفرِندٌ لَهُ سَيّالُ
7,كَلَّما لاقى عُفاةً وعِدىً # سالَ كفَّاهُ نَوالاً ودَما
7,وابقَ ذا الفضلين فضلاً حازه # وارث العليا وفضلاً جمّعه
4,أصبح منك الزمان في وجل # ومن نداك الغمام في خجل
11,عَلى أَسَدِ الإِلَهِ غَداةَ قالوا # أَحَمزَةُ ذَلِكَ الرَجُلُ القَتيلُ
10,تَجلّى هِلالاً والسعود تَحفُّه # بهالَة بَدرِ المُلك في شُبْهَةِ الزُّهرِ
1,مُعْطٍ إذا ضَنَّ الغمامُ بقَطْرِه # رَوَّى جميعَ الأرضِ جودُ غُيوثه
13,زُعازعَ الريح وركْني يذبُلِ # غَمْرُ الرِّداءِ للمُسيفِ المرمل
4,بني عدي لي فيكمُ رشأ # يجار طرفي إذا رأى حوره
8,أَذري الدموعَ على نُؤْي وأوطانِ # بانَ الأحبَّةُ عن تلكَ الديارِ فقد
4,خَلِّ وَدُنياكَ أَهلَ عِزَّتِها # فَكَم شَكَت مُهجَةٌ بَلابِلَها
7,أيُّ دهر كَرَّ من أيامه # ولياليه بشُهبٍ وبدُهم
10,فَإِنَّكَ لا تَدري إِذا العيسُ شَمَّرَت # بِنا أَتَلاقٍ أَو عِدىً وَشُغولُ
13,وطبعُه منذُ نَشا بذلُ اللُهى # بذلَ جوادٍ أريحيٍّ مفضّلِ
13,ما آفَةُ السَعيِ سِوى الضَلالِ # ما آفَةُ العُمرِ سِوى الآمالِ
4,قالوا عن الفتحِ قد بعدتَ فهل # ذكرك عند الصحاب بالنسب
11,حَياتُكِ ما عَلِمتُ حَياةُ سوءٍ # وَمَوتُكِ قَد يَسُرُّ الصالِحينا
7,كَسَتِ الأفقَ سواداً لم يكن # غيرَ غيمٍ جاثمٍ فوق الفِكَر
9,عذلوا جوده وشيمته الغرَّا # ء ترضي الورَى وتعطي العذولا
10,أَجِدَّكَ ما تَعفو كَلومُ مُصيبَةٍ # عَلى صاحِبٍ إِلا فُجِعتُ بِصاحِبِ
13,وموقف رقت حواشي عتبه # ودق حتى لم يبن سراره
0,مَها نَقاءٍ لا مَهاً في نَقاً # رُبِّبنَ في ظِلِّ قَناً أَو رَبَبنَ
11,تَمَنّى أَن تَكونَ إِلى قُرَيشٍ # شَبيهَ البَغلِ شَبَّهَ بِالصَهيلِ
13,مُرتَدِياً سابِغَةً مُعتَمّا # مُتَّخِذاً أَرضَ العَدُوِّ حَمّا
9,في أُصولِ الأَرطي وَيُبدي عُروقاً # ثَئِداتٍ مِثلَ الأَعِنَّةِ خورا
11,وَجَدتُ الناسُ كُلُّهُمُ فَقيرٌ # وَيُعدَمُ في الأَنامِ الأَغنِياءُ
10,أَفي كُلِّ يَومٍ رِحلَةٌ بَعدَ رِحلَةٍ # تَجَرَّعُ نَفسي حَسرَةً وَتَروعُها
10,وَيَومٍ كَحَسوِ الطَيرِ بِتنا نَنوشُهُ # عَلى شُعَبِ الأَكوارِ وَاللَيلُ غاسِقُ
13,جاءَت مِن البَحر المُحيطِ خَيلُهُ # تَحمل مِنهُ الصَيد حَيّاً ذا طَرا
9,فَسَوْفَ تَكُونُ بِها فِتْنَةٌ # تُضِيفُ البَرِيءَ إِلَى المُذْنِبِ
4,يسبِّح الله حين يبصرها # فيا له عابداً على حرف
8,وللمعلم كن عبداً وكن سمحا # إِن المعلم لم ينصح بغير رضى
4,ووحشة بيننا يؤكدها # نحوَ الجفا فهي هكذا وحشه
10,فَيَا وَهْيَ أسْبَابِ السَّبَاسِبِ كُلَّمَا # أذِيقُوا الرَّدَى قَبْضاً وَسِيقُوا لَهُ قَبْصا
10,وَهُم فَتَحُوا الآفاق طراً فأصْبَحَتْ # تُؤَدِّي جِزاها القِبْطُ والفُرْسُ والصُّفرُ
4,مثلُكِ لا يشتكي الكَلال ولا # يئنّ أنّ المتيّمِ الوصِبِ
2,وَبَينَهُما أَهلَكَ الغابِرينَ # ما يَقرِيانِ وَما يَقرُوانِ
8,وتفضلُ الغيث والأيامُ مُجدبَةٌ # بأنَّ جودكَ في العافينَ تَهْتانُ
1,فَلَرُبَّ سَمراءِ الأَديمِ طَويلَةٍ # حَسَدَت بِراحَتِهِ القَصيرَ الأَصفَرا
10,هُوَ اليَأسُ مِن لَيلى عَلى أَنَّ حُبَّها # مُقيمُ المَراسي لَم يَزَل عِندَنا بَعدُ
6,الحَمدُ لِلَّهِ رَبّي # ماذا لَقيتُ فَحَسبي
11,كَأَنّي في نَدِيِّ بَني أُقَيشٍ # إِذا ما جِئتَ نادِيَهُم تُهالُ
